区域,小区名,具体地址,公里范围,
周浦,沈默花苑,上海市浦东新区韵浦路167弄,1.2公里,
周浦,东方晶华园,上海市浦东新区康沈路1758弄,1.1公里,
周浦,立雪苑,上海市浦东新区关岳西路26号,1.4公里,
周浦,金龙新苑,上海市浦东新区中大街108弄2支弄,1.1公里,
周浦,加盟圣蓝苑,上海市浦东新区康沈路1527弄,1.3公里,
周浦,泰苑公寓,上海市浦东新区上南路7992弄,1.2公里,
周浦,菱翔苑,上海市浦东新区年家浜路501弄,1.7公里,
康桥,康馨苑,上海市浦东新区上南路6930号,2.3公里,
康桥,双秀家园南区,,2.5公里,
康桥,双秀西园西区,上海市浦东新区上南路6733弄,2.6公里,
康桥,双秀西园北区,上海市浦东新区沪南公路3150弄,3公里,
康桥,海富城市花园,上海市浦东新区秀浦路798弄,3.4公里,
康桥,绿地东上海,上海市浦东新区秀浦路788弄,3.3公里,
周浦,慧晶国际,上海市浦东新区中大东街54号,700米,
周浦,丽都家园,上海市浦东新区东八灶80弄88号,800米,
周浦,信诚丽都苑,上海市浦东新区周市路380弄,700米,
周浦,月桂苑,上海市浦东新区东八灶80弄,800米,
周浦,文馨园,上海市浦东新区川周公路4293弄,1公里,
康桥,小上海新城,上海市浦东新区川周公路4318弄,1.6公里,
周浦,汇丽苑,上海市浦东新区周园路392号,2.9公里,
周浦,圣鑫苑,上海市浦东新区川周公路4058弄,2.9公里,
周浦,安康新村,上海市浦东新区川周公路4005弄,2.9公里,
康桥,城中花园,上海市浦东新区康桥秀沿路1028弄2支弄,3.2公里,
康桥,康湾苑,上海市浦东新区周园北路522弄,3.6公里,
康桥,梓潼公寓,上海市浦东新区上南路7959弄,1.4公里,
康桥,永恒公寓,上海市浦东新区上南路7790号,1.8公里,
周浦,万达广场,上海市浦东新区年家浜路437号,2.1公里,
周浦,南郊花园,上海市浦东新区沪南路3633弄,2.2公里,
周浦,南郊花园东区,上海市浦东新区周康路129弄,1.6公里,
周浦,繁荣安居,上海市浦东新区繁荣东路159弄,1公里,
周浦,申雅苑,上海市浦东新区关岳路338弄,3.1公里,
周浦,海尚乐苑,上海市浦东新区周邓公路6600弄,2.7公里,
康桥,达城锦园,上海市浦东新区康弘路428弄,3.3公里,
康桥,昱龙家园,上海市浦东新区康达路508弄,3.3公里,
康桥,亲水湾达城家园,上海市浦东新区康弘路515弄,4.1公里,
康桥,康桥宝邸,,3.7公里,
康桥,海尚康庭,上海市浦东新区康弘路580弄,4.2公里,
康桥,康桥月苑,上海市浦东新区康佳路38弄,4公里,
康桥,秀怡苑,上海市浦东新区环桥路1137弄,5.2公里,
康桥,汤巷雅苑,上海市浦东新区环桥路1136弄,5公里,
康桥,汤巷新村南区,上海市浦东新区秀沿路2501弄,5.4公里,
康桥,汤巷新村北区,上海市浦东新区环桥路1481弄,5.9公里,
康桥,文怡苑南区,上海市浦东新区秀沿路2585弄,5.4公里,
康桥,文怡苑北区,,5.7公里,
康桥,宁怡苑,上海市浦东新区秀沿路2875弄,5.8公里,
康桥,康桥新苑,上海市浦东新区创业路87弄,6.7公里,
康桥,康庭苑,上海市浦东新区川周公路2928弄,6.7公里,
康桥,旭辉亚瑟郡,上海市浦东新区川周公路2880号,6.8公里,
康桥,沔溪苑,上海市浦东新区川周公路2828号,7.4公里,
周浦,颐谷北苑,,3.5公里,
周浦,颐谷南苑,,3.4公里,
周浦,汇福家园,,4.8公里,
周浦,中金海棠湾,,2.1公里,
周浦,丰和雅苑,,2.1公里,
周浦,龙泽家园,上海市浦东新区横桥路118弄,900米,
周浦,康林公寓,上海市浦东新区康沈路2132弄,1.2公里,
下沙,东丰林居,上海市浦东新区康沈路2588弄,2公里,
下沙,德馨苑,上海市浦东新区康沈路2818弄,3.2公里,
周浦,印象春城,,2.4公里,
周浦,九龙仓兰廷,,1.2公里,
周浦,绿地景汇佳苑,,1公里,
周浦,明天华城,,1.7公里,
周浦,繁荣华庭,,1.5公里,
周浦,美林小城,,2.6公里,
周浦,御沁园,,2公里,
康桥,中邦城市,,3.5公里,