鲫鱼（大）,大鲫鱼（约7两左右／条）,红烧鲫鱼,香辣烤鲫鱼,鲫鱼豆腐汤,／,
鲫鱼（小）,小鲫鱼 3条／份 约1斤左右,红烧鲫鱼,香辣烤鲫鱼,鲫鱼豆腐汤,／,
带鱼,鲫鱼（约7两左右／条）,香煎带鱼,家常烧带鱼,清蒸带鱼,／,
鲈鱼,鲈鱼 （约1斤左右／条）,清蒸鲈鱼,炭烤鲈鱼,鲈鱼豆腐汤,／,
桂鱼,桂鱼 （约1斤左右／条）,清蒸桂鱼,松鼠桂鱼,红烧桂鱼,／,
多宝鱼,多宝鱼 （约1斤2两左右／条）,清蒸多宝鱼,红烧多宝鱼,香煎多宝鱼,／,
老虎斑,老虎斑（活杀） 约,清蒸老虎斑,葱油老虎斑,蚝油老虎斑,／,
鸦片鱼身,鸦片鱼肉段 切片 2片／份,清蒸鸦片鱼,葱油鸦片鱼,红烧鸦片鱼,／,
鸦片鱼头,鸦片鱼头 约,清蒸鸦片鱼头,,,／,
蛏子,蛏子（约1斤／份）,蛏子丝瓜汤,盐焗蛏子,美味爆炒蛏子,／,
花蛤,花蛤（约1斤／份）,超鲜葱油蛤蜊,蛤蜊炖蛋,辣炒花蛤,／,
文蛤,文蛤（约1斤／份）,超鲜葱油蛤蜊,蛤蜊炖蛋,蛤蜊饭,／,
斑节虾,斑节虾（活）5两起卖,白灼斑节虾,豉油斑节虾,葱爆斑节虾,／,
草虾,草虾（活）5两起卖,柠檬盐烤虾,黑胡椒奶油虾,沙茶干烧虾,／,
明虾,明虾（活）5两起卖,油焖大虾,日式炸大虾,香煎大明虾,／,
基围虾,基围虾（活）5两起卖,蒜蓉粉丝虾,白灼基围虾,口水虾,／,
河虾,有籽河虾（活）5两起卖,油爆虾,韭菜炒河虾,醉虾,／,
,无籽河虾（活）5两起卖,油爆虾,韭菜炒河虾,醉虾,／,
大头虾,大头虾（活）5两起卖,水煮大头虾,油爆大头虾,菠萝油条虾,／,
虾姑（皮皮虾）,皮皮虾（活）5两起卖,清蒸皮皮虾,椒盐皮皮虾,辣炒皮皮虾,／,
虾仁,生剥虾仁 5两起卖,芦笋百合烩虾仁,虾仁炒蛋,虾丸,／,
冷冻虾仁,冷冻虾仁（约200g／份）,水晶虾仁,龙井虾仁,虾仁滑蛋,／,
梭子蟹,梭子蟹（活）约3两／只,姜葱炒梭子蟹,秘制香辣蟹,梭子蟹粉丝煲,／,
青蟹,青蟹（活）约6两／份,青蟹炒年糕,葱姜炒青蟹,避风塘炒蟹,／,
花蟹,花蟹（活）约5两／份,爆炒花蟹,清蒸花蟹,葱姜炒花蟹,／,
鱿鱼,鱿鱼 约1斤／条,爆炒鱿鱼圈,酥炸鱿鱼圈,双椒炒鱿鱼卷,／,
海带丝,鲜海带丝 约5两／份,凉拌海带,清炒海带,蛤蜊海带豆腐汤,／,
海带结,鲜海带结 约4两／份,海带豆腐汤,海带排骨汤,海带玉米汤,／,
鲍鱼（小）,鲜活小鲍鱼 2只起卖,鲍鱼红烧肉,海鲜鲍鱼汤,清蒸小鲍鱼,／,
鲍鱼（大）,鲜活大鲍鱼 2只起卖,清蒸鲍鱼,鲍鱼汤,鲍鱼红烧肉,／,
扇贝,鲜活大扇贝 2只起卖,蒜蓉粉丝蒸扇贝,清蒸扇贝,烤扇贝,／,
竹蛏,鲜活竹蛏 约1斤／份,盐烤竹蛏,辣炒竹蛏,蒜蓉竹蛏,／,